ID,DEVICETYPE,PLATFORM_ID,BIDREQUESTIP,USERPLATFORMUID,USERCITY,USERZIPCODE,USERAGENT,PLATFORMTYPE,CHANNELTYPE,URL,KEYWORDS,IS_HCP
115541,1,7.0,7459,7636,2660,33573.0,2326,3,0,1004,199,0.0
115542,0,2.0,12109,14256,935,140922149.0,1293,3,0,2284,1654,1.0
115543,0,2.0,9701,9996,627,75270.0,1232,3,0,2182,534,0.0
115544,0,2.0,5870,10171,2599,63169.0,1239,3,0,1409,697,0.0
115545,1,2.0,8711,8767,97,2474.0,2227,3,0,477,527,1.0
115546,0,7.0,2958,8332,1285,30143.0,1369,3,0,793,412,0.0
115547,0,2.0,10361,15506,1780,7960.0,1612,3,0,625,1108,0.0
115548,0,5.0,2399,1666,2380,95823.0,1515,3,0,140,1618,0.0
115549,0,2.0,8745,17921,1536,90060.0,1326,3,0,1723,819,0.0
115550,0,9.0,11210,1366,1524,7853.0,1303,3,0,244,769,0.0
115551,1,2.0,1361,14276,2599,63103.0,30,3,0,545,326,0.0
115552,1,2.0,11743,7998,1370,60526.0,2058,3,0,2199,318,1.0
115553,1,2.0,11118,3554,2141,19121.0,2326,3,0,1469,729,0.0
115554,0,7.0,2640,14714,479,60647.0,1497,3,0,1010,1553,0.0
115555,1,2.0,5832,1657,183,24523.0,2223,3,0,2627,52,1.0
115556,0,7.0,7935,4834,2412,95141.0,1491,3,0,844,1626,0.0
115557,0,7.0,2055,8082,2333,20852.0,1610,3,0,989,343,0.0
115558,0,2.0,9025,7307,195,68123.0,1506,3,0,1316,291,0.0
115559,0,9.0,8447,15099,3060,,1031,3,0,220,433,0.0
115560,0,2.0,14154,14589,1664,27302.0,1517,3,0,404,320,0.0
115561,0,2.0,9592,12957,1760,12701.0,1520,3,0,545,326,0.0
115562,0,2.0,1398,5692,924,1702.0,1520,3,0,1469,729,0.0
115563,0,9.0,8458,959,3060,,1033,3,0,245,769,0.0
115564,0,2.0,9790,5750,627,75230.0,1354,3,0,587,569,0.0
115565,0,2.0,7990,16180,479,60602.0,1538,3,0,740,1233,0.0
115566,1,2.0,9588,7060,2825,92083.0,1957,3,0,1447,177,1.0
115567,1,6.0,13528,6589,945,92831.0,1938,2,0,1816,496,0.0
115568,0,2.0,296,5439,813,45322.0,1508,3,0,1432,714,0.0
115569,0,2.0,2779,428,841,22030.0,1508,3,0,479,239,0.0
115570,1,10.0,6528,5111,324,11224.0,2344,3,0,1851,683,0.0
115571,0,2.0,2429,17823,2070,33418.0,1508,3,0,2523,718,0.0
115572,1,6.0,563,15518,2142,85009.0,1000,2,0,1816,496,0.0
115573,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
115574,0,2.0,9745,13822,1252,83401.0,1531,3,0,526,437,0.0
115575,0,4.0,8439,16611,3060,,1032,3,0,85,905,0.0
115576,0,4.0,2309,2739,1890,10019.0,1494,3,0,54,693,1.0
115577,0,2.0,13138,2383,1431,19050.0,1443,3,0,2345,727,1.0
115578,0,2.0,4010,13192,642,454391983.0,1432,3,0,1475,473,1.0
115579,1,9.0,9865,619,2142,85022.0,2058,3,0,223,197,1.0
115580,1,7.0,12286,13736,672,50309.0,2181,3,0,825,1551,1.0
115581,0,7.0,5301,6140,240,35226.0,1520,3,0,1075,68,0.0
115582,0,2.0,6480,3545,1775,95037.0,1362,3,0,2031,383,1.0
115583,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
115584,0,2.0,9074,12464,2245,11354.0,1401,3,0,1470,125,0.0
115585,1,7.0,13478,9439,54,19002.0,2326,3,0,1029,1349,0.0
115586,1,2.0,10420,2229,1823,15668.0,2326,3,0,545,326,0.0
115587,0,2.0,1180,17903,1418,8701.0,1438,3,0,2054,383,1.0
115588,0,7.0,6841,12426,784,95624.0,1531,3,0,843,1577,0.0
115589,1,2.0,12799,10740,2080,94301.0,2326,3,0,1316,291,0.0
115590,0,7.0,5557,835,2470,98115.0,1526,3,0,996,1545,0.0
115591,0,2.0,2830,5828,1314,64184.0,1544,3,0,2305,0,0.0
115592,2,2.0,1231,4260,479,60625.0,1828,3,0,545,326,0.0
115593,0,2.0,9038,15184,655,11729.0,1508,3,0,1723,819,0.0
115594,0,2.0,13770,2515,2686,32312.0,1602,3,0,545,326,0.0
115595,1,2.0,8208,13007,2573,28387.0,2023,3,0,1980,383,1.0
115596,0,14.0,1414,9172,555,43210.0,1508,1,0,101,919,1.0
115597,0,2.0,9226,11209,886,48433.0,1518,3,0,2243,507,0.0
115598,1,2.0,7055,16290,1930,29415.0,1045,3,0,756,90,1.0
115599,0,7.0,5067,1724,2593,10954.0,1598,3,0,1256,1398,0.0
115600,0,7.0,1795,1261,1227,77018.0,1497,3,0,1039,1563,0.0
115601,0,7.0,6577,8080,3060,481924668.0,1595,3,0,1074,1556,1.0
115602,0,2.0,1862,4627,1890,10001.0,1330,3,0,385,1534,0.0
115603,0,2.0,7440,8819,2687,33606.0,1369,3,0,545,326,0.0
115604,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
115605,0,10.0,5749,9009,3,574015418.0,1442,3,0,1847,626,1.0
115606,0,2.0,7486,8020,2486,33777.0,1522,3,0,1316,291,0.0
115607,0,7.0,7422,6958,967,75041.0,1369,3,0,955,734,1.0
115608,1,7.0,11115,15125,119,98001.0,2205,3,0,1041,774,0.0
115609,0,10.0,13483,5534,324,11234.0,1532,3,0,1851,683,0.0
115610,1,7.0,11603,4586,972,60134.0,2023,3,0,825,1551,1.0
115611,0,2.0,3599,11122,2797,46383.0,1531,3,0,1470,125,0.0
115612,1,6.0,12927,11869,2409,92127.0,28,2,0,1816,496,0.0
115613,0,2.0,9955,17886,1248,50124.0,1330,3,0,625,1108,0.0
115614,1,2.0,592,3827,123,80012.0,697,3,0,442,87,0.0
115615,0,2.0,2000,8603,2599,63169.0,1639,3,0,1426,708,0.0
115616,0,2.0,12739,6449,391,91387.0,1455,3,0,2303,725,1.0
115617,1,2.0,10969,9043,2186,18651.0,2082,3,0,2439,657,1.0
115618,0,2.0,2818,4848,1055,29601.0,1531,3,0,419,362,0.0
115619,2,2.0,7491,4842,2440,34243.0,1923,3,0,450,17,0.0
115620,2,2.0,4818,15381,2485,36701.0,1918,3,0,2485,1622,0.0
115621,0,12.0,7521,14728,248,7003.0,1531,3,0,154,448,1.0
115622,0,2.0,5280,10154,1258,46260.0,1476,3,0,1550,953,1.0
115623,0,2.0,1862,14250,1890,10011.0,1424,3,0,1980,383,1.0
115624,0,2.0,2835,7396,1314,64184.0,1544,3,0,1980,383,1.0
115625,0,9.0,8448,13461,3060,,1032,3,0,205,933,0.0
115626,0,2.0,5658,7791,76,17003.0,1709,3,0,436,775,1.0
115627,0,7.0,13350,11160,1970,48377.0,1666,3,0,1112,1496,0.0
115628,0,10.0,9905,102,772,85335.0,1453,3,0,1850,709,1.0
115629,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115630,0,2.0,11620,12159,2230,20678.0,1369,3,0,2384,59,0.0
115631,1,2.0,13846,3384,488,45236.0,2119,3,0,545,326,0.0
115632,0,2.0,7784,17103,1278,32255.0,1538,3,0,2520,391,0.0
115633,0,2.0,8751,4833,1536,90060.0,1326,3,0,1723,819,0.0
115634,1,2.0,4098,6481,98,600354649.0,2023,3,0,2535,420,1.0
115635,0,2.0,1912,1390,479,60644.0,1446,3,0,2669,804,1.0
115636,0,2.0,2002,16250,2599,63169.0,1540,3,0,1922,943,0.0
115637,1,2.0,2680,10854,3060,,703,3,0,2605,637,0.0
115638,0,2.0,194,6702,324,11204.0,1225,3,0,545,326,0.0
115639,0,9.0,8461,5934,3060,,1032,3,0,275,1539,0.0
115640,0,2.0,1862,15184,1890,10001.0,1508,3,0,1723,819,0.0
115641,1,2.0,10623,7553,125,78731.0,2189,3,0,545,326,0.0
115642,0,7.0,2157,14008,479,60612.0,1497,3,0,819,1510,0.0
115643,0,2.0,8217,10795,97,22202.0,1369,3,0,443,87,0.0
115644,0,10.0,2363,6757,780,72023625.0,1441,3,0,1850,709,1.0
115645,1,6.0,8803,9157,574,12822.0,2234,2,0,1816,496,0.0
115646,1,2.0,3532,6867,1227,77091.0,2023,3,0,477,527,1.0
115647,0,2.0,917,7015,1890,10010.0,1476,3,0,1980,383,1.0
115648,0,2.0,5389,6623,1053,27405.0,1497,3,0,2708,136,0.0
115649,0,2.0,2004,6293,2599,63169.0,1639,3,0,1469,729,0.0
115650,0,7.0,5339,6051,1499,72204.0,1508,3,0,810,1585,0.0
115651,0,2.0,8751,4833,1536,90060.0,1326,3,0,1542,940,0.0
115652,1,2.0,10693,5333,787,68022.0,2326,3,0,1458,144,0.0
115653,2,2.0,9864,17859,2758,85730.0,1771,3,0,1769,78,1.0
115654,1,2.0,3386,1656,2109,2860.0,264,3,0,2104,389,1.0
115655,0,2.0,4905,8304,1890,10901.0,1225,3,0,545,326,0.0
115656,0,2.0,10850,1923,1030,49503.0,1369,3,0,1409,697,0.0
115657,1,6.0,3271,12596,675,48204.0,1942,2,0,1824,551,1.0
115658,2,2.0,11036,134,1558,24502.0,1896,3,0,530,316,0.0
115659,0,9.0,8425,2996,3060,,1030,3,0,294,912,0.0
115660,0,2.0,13127,5507,814,7726.0,1531,3,0,1723,819,0.0
115661,0,2.0,6456,13068,1159,16148.0,1369,3,0,442,87,0.0
115662,0,2.0,10065,5007,459,28216.0,1364,3,0,431,481,0.0
115663,0,2.0,9735,8011,1739,36695.0,1406,3,0,479,239,0.0
115664,0,2.0,5387,3448,1857,6053.0,1458,3,0,1679,157,1.0
115665,0,4.0,8953,12980,2257,90275.0,1303,3,0,18,560,1.0
115666,0,2.0,2587,7576,2433,87507.0,1503,3,0,380,1133,0.0
115667,1,2.0,6870,6305,927,2038.0,2302,3,0,2605,637,0.0
115668,0,2.0,6082,2935,2715,10466.0,1440,3,0,2689,904,1.0
115669,0,7.0,12974,10983,42,30022.0,1268,3,0,805,51,0.0
115670,1,2.0,3448,6146,3060,,935,3,0,525,98,0.0
115671,1,2.0,12014,13332,2137,24963.0,2229,3,0,2626,52,1.0
115672,1,7.0,334,15355,2470,98160.0,2119,3,0,1004,199,0.0
115673,1,9.0,7920,13004,285,23917.0,2367,3,0,243,911,0.0
115674,0,2.0,12737,13263,1515,92354.0,1327,3,0,2307,283,0.0
115675,0,2.0,1506,6097,1694,33125.0,1520,3,0,1433,605,0.0
115676,0,5.0,8075,8340,2715,10451.0,1559,3,0,132,1192,0.0
115677,0,2.0,2168,9074,722,27705.0,1518,3,0,2565,413,0.0
115678,0,2.0,8568,10916,235,1821.0,1520,3,0,1450,415,0.0
115679,0,2.0,6758,17423,324,11204.0,1497,3,0,1723,819,0.0
115680,0,2.0,10454,9498,555,43203.0,1508,3,0,526,437,0.0
115681,1,7.0,1603,7552,853,58102.0,1977,3,0,906,535,1.0
115682,0,2.0,8521,3867,1767,28115.0,1321,3,0,436,775,1.0
115683,1,2.0,3964,10237,1336,44240.0,2111,3,0,1924,138,1.0
115684,0,2.0,5873,2817,2599,63169.0,1540,3,0,1409,697,0.0
115685,1,2.0,7594,11701,261,35957.0,2326,3,0,2605,637,0.0
115686,0,2.0,13770,2515,2686,32312.0,1602,3,0,545,326,0.0
115687,0,2.0,8744,17921,1536,90060.0,1326,3,0,1363,1201,0.0
115688,0,9.0,8461,11285,3060,,2372,3,0,256,1036,0.0
115689,0,4.0,8449,17906,3060,,1028,3,0,86,1063,0.0
115690,1,2.0,567,15061,675,48201.0,971,3,0,526,437,0.0
115691,0,2.0,11485,2310,2744,95376.0,1368,3,0,418,1141,0.0
115692,0,7.0,2137,13548,53,79106.0,1491,3,0,1076,254,0.0
115693,1,2.0,6821,8311,416,2330.0,2326,3,0,2605,637,0.0
115694,2,2.0,9822,11311,2279,17569.0,257,3,0,2565,413,0.0
115695,1,2.0,6333,854,627,30132.0,2361,3,0,1316,291,0.0
115696,0,2.0,8744,17921,1536,90060.0,1326,3,0,385,1534,0.0
115697,0,2.0,10113,7646,2217,20854.0,1447,3,0,2208,318,1.0
115698,0,2.0,1632,17341,17,12209.0,1520,3,0,1450,415,0.0
115699,1,7.0,14162,14361,2409,92126.0,861,3,0,1004,199,0.0
115700,0,7.0,4742,7514,3043,17403.0,1365,3,0,1091,777,1.0
115701,1,2.0,4734,477,2820,8360.0,812,3,0,1450,415,0.0
115702,0,2.0,12034,10749,961,11531.0,1736,3,0,2520,391,0.0
115703,0,9.0,2264,5420,3060,100216007.0,1573,3,0,217,1512,1.0
115704,0,2.0,2075,7224,2380,95816.0,1447,3,0,2275,386,1.0
115705,0,7.0,6675,7927,1346,76541.0,1525,3,0,1004,199,0.0
115706,0,2.0,2839,12706,1314,64184.0,1544,3,0,1980,383,1.0
115707,0,2.0,9884,3101,911,72904.0,1520,3,0,2238,137,0.0
115708,0,5.0,6080,13983,1543,40207.0,1517,3,0,126,936,0.0
115709,0,7.0,2416,11837,2142,85013.0,1520,3,0,827,1509,0.0
115710,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115711,0,2.0,916,11251,1890,10016.0,1468,3,0,1980,383,1.0
115712,0,2.0,11848,13199,1227,77055.0,1371,3,0,442,87,0.0
115713,0,2.0,12,15659,597,7016.0,1485,3,0,431,481,0.0
115714,0,2.0,9085,13982,2717,97058.0,1508,3,0,2565,413,0.0
115715,0,2.0,260,10058,591,51502.0,1740,3,0,1723,819,0.0
115716,0,2.0,6279,8031,2245,11104.0,1520,3,0,1723,819,0.0
115717,1,2.0,2509,17120,170,44140.0,2326,3,0,2605,637,0.0
115718,0,2.0,7744,7199,115,8401.0,1508,3,0,1316,291,0.0
115719,0,2.0,8743,17921,1536,90060.0,1326,3,0,385,1534,0.0
115720,0,2.0,292,12648,1679,44060.0,1460,3,0,2310,106,1.0
115721,0,7.0,11626,878,1981,94609.0,1330,3,0,824,1558,0.0
115722,0,7.0,5267,10573,1727,53215.0,1531,3,0,962,1538,0.0
115723,0,7.0,2376,15076,17,12203.0,1508,3,0,873,1469,0.0
115724,1,2.0,10461,6414,970,28056.0,2234,3,0,2545,818,0.0
115725,1,2.0,11191,2259,2214,97219.0,2361,3,0,2385,59,0.0
115726,0,7.0,5764,16893,2245,11106.0,1497,3,0,793,412,0.0
115727,0,2.0,1935,1535,2596,65807.0,1291,3,0,545,326,0.0
115728,0,2.0,5232,7017,3060,,1476,3,0,2348,1293,0.0
115729,1,2.0,8794,2958,2752,12180.0,2214,3,0,2150,1020,0.0
115730,1,6.0,13530,4179,3051,85365.0,2271,2,0,1816,496,0.0
115731,0,7.0,2895,15673,1890,10025.0,1497,3,0,881,1458,0.0
115732,1,2.0,8183,1775,1064,431303312.0,220,3,0,742,159,1.0
115733,1,2.0,4395,9153,114,30309.0,237,3,0,545,326,0.0
115734,0,2.0,9192,1472,2551,46619.0,1736,3,0,2520,391,0.0
115735,1,2.0,1257,13537,2411,94142.0,2156,3,0,1983,383,1.0
115736,1,2.0,933,6231,1536,90045.0,2234,3,0,2573,121,1.0
115737,0,2.0,5607,10829,2411,94142.0,1549,3,0,2079,383,1.0
115738,0,2.0,11940,6553,2027,7050.0,1520,3,0,1723,819,0.0
115739,0,7.0,7422,6958,967,75041.0,1369,3,0,955,734,1.0
115740,0,2.0,1978,16433,2586,99202.0,1330,3,0,2708,136,0.0
115741,0,2.0,12238,9291,592,6238.0,1460,3,0,547,54,1.0
115742,0,2.0,917,2819,1890,10010.0,1485,3,0,2132,328,1.0
115743,0,2.0,8018,635,1536,90012.0,1520,3,0,1450,415,0.0
115744,0,2.0,14111,17662,916,76137.0,1520,3,0,587,569,0.0
115745,0,5.0,2813,7280,3060,,1497,3,0,126,936,0.0
115746,0,9.0,8444,11364,3060,,1036,3,0,237,578,0.0
115747,0,2.0,12744,12976,1822,92563.0,1485,3,0,477,527,1.0
115748,0,14.0,1414,9172,555,43210.0,1508,1,0,101,919,1.0
115749,1,7.0,10057,3805,168,48708.0,913,3,0,995,585,0.0
115750,0,2.0,10084,7447,1472,19057.0,1508,3,0,1452,124,0.0
115751,0,2.0,5344,17308,1760,52310.0,1538,3,0,2520,391,0.0
115752,0,2.0,2141,10298,1227,77030.0,1523,3,0,419,362,0.0
115753,0,2.0,10953,8786,1694,33144.0,1287,3,0,526,437,0.0
115754,0,2.0,12235,2683,2447,49783.0,1468,3,0,1320,672,1.0
115755,0,2.0,9038,15184,655,11729.0,1508,3,0,2133,1294,0.0
115756,0,7.0,2408,11451,1536,90039.0,1517,3,0,793,412,0.0
115757,1,2.0,4369,16085,342,14224.0,1016,3,0,2387,621,0.0
115758,0,5.0,1341,15893,1674,38133.0,1303,3,0,132,1192,0.0
115759,0,7.0,746,6617,2588,77379.0,1612,3,0,793,412,0.0
115760,0,9.0,8470,1379,1807,94043.0,1033,3,0,330,1643,0.0
115761,0,2.0,1862,15184,1890,10001.0,1508,3,0,1723,819,0.0
115762,0,2.0,1862,4627,1890,10001.0,1330,3,0,385,1534,0.0
115763,0,9.0,12344,1278,3003,27106.0,1443,3,0,326,22,1.0
115764,0,7.0,2593,14190,3060,303221013.0,1581,3,0,1060,238,1.0
115765,0,2.0,9203,10446,1227,77004.0,1520,3,0,1450,415,0.0
115766,0,2.0,3751,9525,2054,21117.0,1508,3,0,479,239,0.0
115767,0,2.0,9475,16075,2162,8854.0,1508,3,0,431,481,0.0
115768,0,2.0,11485,11440,2744,95376.0,1368,3,0,418,1141,0.0
115769,0,2.0,10017,8423,2245,11101.0,1476,3,0,1723,819,0.0
115770,0,2.0,7424,11446,324,11236.0,1497,3,0,434,237,1.0
115771,2,2.0,11030,1160,183,3110.0,1771,3,0,1769,78,1.0
115772,0,5.0,2577,17411,653,30033.0,1468,3,0,137,1087,1.0
115773,0,7.0,5354,6550,2409,92115.0,1520,3,0,1076,254,0.0
115774,0,7.0,10052,5853,1161,20170.0,1531,3,0,844,1626,0.0
115775,0,2.0,5715,16844,2599,63169.0,1639,3,0,1469,729,0.0
115776,1,7.0,2698,14469,3060,,2326,3,0,844,1626,0.0
115777,1,6.0,10779,10092,2310,21911.0,2276,2,0,1822,652,0.0
115778,0,7.0,4742,7514,3043,17403.0,1365,3,0,1091,777,1.0
115779,0,2.0,7071,1137,1694,33132.0,1443,3,0,2548,866,1.0
115780,0,2.0,6026,13991,1579,10543.0,1508,3,0,654,445,0.0
115781,0,2.0,3656,3321,2687,33611.0,1520,3,0,1665,1612,0.0
115782,0,2.0,9062,10821,2245,11421.0,1443,3,0,2152,271,1.0
115783,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115784,0,7.0,2181,6686,722,27705.0,1369,3,0,940,201,1.0
115785,1,2.0,326,1450,479,60602.0,2058,3,0,1698,782,1.0
115786,0,5.0,7795,3107,319,20833.0,1491,3,0,118,1530,0.0
115787,1,2.0,6614,3123,1408,63367.0,30,3,0,545,326,0.0
115788,1,2.0,11880,14124,933,21701.0,2084,3,0,550,545,1.0
115789,0,2.0,5393,8156,1314,64113.0,1567,3,0,1450,415,0.0
115790,0,2.0,4748,6101,2612,16801.0,1327,3,0,1920,1364,0.0
115791,0,7.0,8141,11589,373,2138.0,1360,3,0,1075,68,0.0
115792,1,2.0,10475,8864,1569,44057.0,2227,3,0,2604,329,0.0
115793,0,2.0,12279,11556,30,91801.0,1508,3,0,2603,329,0.0
115794,0,2.0,5643,1697,1576,2148.0,1520,3,0,2558,21,0.0
115795,0,2.0,12370,523,707,43017.0,1361,3,0,2610,637,0.0
115796,0,2.0,2379,6346,2470,98160.0,1549,3,0,2076,383,1.0
115797,0,2.0,2196,8885,104,20147.0,1551,3,0,1723,819,0.0
115798,0,2.0,8355,2543,2383,48602.0,1508,3,0,1450,415,0.0
115799,0,2.0,2426,16514,1679,44060.0,1368,3,0,495,103,1.0
115800,0,2.0,11273,18025,3,21001.0,1443,3,0,2532,353,1.0
115801,1,2.0,7721,8286,1280,2130.0,2227,3,0,541,336,0.0
115802,0,2.0,2603,169,2300,29130.0,1454,3,0,410,163,1.0
115803,0,2.0,5867,3175,2599,63169.0,1239,3,0,1409,697,0.0
115804,0,2.0,10166,1041,2683,98466.0,1320,3,0,1444,706,1.0
115805,0,5.0,2966,16472,2758,85745.0,1610,3,0,130,1188,0.0
115806,0,2.0,6591,11800,2214,97202.0,1369,3,0,1450,415,0.0
115807,0,7.0,8141,11589,373,2138.0,1360,3,0,1075,68,0.0
115808,1,2.0,6519,15010,569,11727.0,2227,3,0,2605,637,0.0
115809,0,2.0,10742,12995,1372,91941.0,1369,3,0,2150,1020,0.0
115810,0,2.0,13455,12443,743,11731.0,1520,3,0,545,326,0.0
115811,1,2.0,7090,11264,815,73703.0,2227,3,0,1316,291,0.0
115812,0,7.0,1537,4510,251,47406.0,1369,3,0,826,754,0.0
115813,0,7.0,12560,1534,1694,33134.0,1362,3,0,896,1403,0.0
115814,1,2.0,7300,15009,2534,23430.0,2131,3,0,2470,33,1.0
115815,1,2.0,8863,4802,3060,,563,3,0,2485,1622,0.0
115816,0,2.0,7248,14810,1911,93454.0,1268,3,0,686,62,1.0
115817,0,5.0,1562,8610,1415,33801.0,1517,3,0,126,936,0.0
115818,1,2.0,4086,5607,1039,60030.0,2119,3,0,2570,115,1.0
115819,0,7.0,9548,14644,324,11234.0,1218,3,0,1119,1468,0.0
115820,0,9.0,8449,709,3060,,1032,3,0,210,609,0.0
115821,0,2.0,965,11748,1202,1746.0,1369,3,0,1723,819,0.0
115822,0,2.0,5869,15590,2599,63169.0,1540,3,0,2654,918,0.0
115823,1,2.0,4657,4739,3060,,2176,3,0,525,98,0.0
115824,1,2.0,1998,3856,2599,63169.0,729,3,0,1469,729,0.0
115825,0,7.0,2416,11837,2142,85013.0,1520,3,0,827,1509,0.0
115826,1,2.0,327,1767,479,60602.0,2119,3,0,742,159,1.0
115827,0,2.0,2282,2837,1536,90045.0,1454,3,0,1478,473,1.0
115828,2,2.0,4952,2628,894,24551.0,1875,3,0,1768,78,1.0
115829,0,2.0,11040,3000,1369,60525.0,1364,3,0,540,105,0.0
115830,0,2.0,4835,18017,2346,93560.0,1532,3,0,2605,637,0.0
115831,0,2.0,2002,8756,2599,63169.0,1239,3,0,2587,914,0.0
115832,1,2.0,13747,11535,286,19512.0,402,3,0,545,326,0.0
115833,1,2.0,270,14253,2336,24151.0,2111,3,0,754,188,1.0
115834,0,2.0,5866,11038,2599,63169.0,1540,3,0,2648,832,0.0
115835,0,2.0,5307,13867,1674,38117.0,1531,3,0,2450,6,0.0
115836,0,2.0,6680,12573,1151,287594996.0,1297,3,0,520,119,1.0
115837,0,7.0,2055,8082,2333,20852.0,1610,3,0,989,343,0.0
115838,0,2.0,9485,3476,3045,10598.0,1328,3,0,419,362,0.0
115839,1,2.0,13385,13798,1033,62040.0,616,3,0,1314,190,1.0
115840,0,2.0,5052,8341,2412,95141.0,1343,3,0,483,764,0.0
115841,1,7.0,3171,3056,2409,92113.0,2326,3,0,844,1626,0.0
115842,1,2.0,12336,13980,887,36535.0,853,3,0,597,443,1.0
115843,0,2.0,919,16862,1890,100251710.0,1619,3,0,1980,383,1.0
115844,0,2.0,5678,18031,434,52403.0,1508,3,0,1316,291,0.0
115845,1,2.0,8152,15636,2558,84009.0,629,3,0,2384,59,0.0
115846,0,2.0,8751,4833,1536,90060.0,1326,3,0,1723,819,0.0
115847,2,2.0,5561,1867,479,60614.0,1119,3,0,2708,136,0.0
115848,0,2.0,3883,14618,97,22202.0,1526,3,0,2150,1020,0.0
115849,1,2.0,11804,15686,1730,55434.0,28,3,0,479,239,0.0
115850,1,2.0,3181,8446,2141,19107.0,938,3,0,545,326,0.0
115851,0,7.0,10011,4308,324,11226.0,1356,3,0,793,412,0.0
115852,0,2.0,7442,15368,2907,33544.0,1508,3,0,2402,1374,0.0
115853,0,2.0,5984,2660,114,30301.0,1538,3,0,2348,1293,0.0
115854,0,9.0,5531,10688,3060,170479200.0,1574,3,0,327,489,1.0
115855,0,7.0,3806,8943,1861,10956.0,1520,3,0,1057,591,0.0
115856,0,2.0,202,8099,324,11204.0,1225,3,0,545,326,0.0
115857,0,2.0,2017,13534,324,11235.0,1362,3,0,2345,727,1.0
115858,1,2.0,3507,6882,1730,55408.0,708,3,0,545,326,0.0
115859,0,7.0,1795,1261,1227,77018.0,1497,3,0,1039,1563,0.0
115860,0,2.0,12932,2443,2528,93065.0,1518,3,0,2260,1155,0.0
115861,2,2.0,9279,12175,555,47201.0,1806,3,0,434,237,1.0
115862,1,2.0,6712,8506,2972,67219.0,902,3,0,2238,137,0.0
