UserID,IS_HCP,TAXONOMY
115926,1,207ND0101X
115927,0,
115928,0,
115929,1,103T00000X
115930,1,103T00000X
115931,0,
115932,0,
115933,1,2084N0402X
115934,0,
115935,0,
115936,1,103T00000X
115937,1,103T00000X
115938,1,103T00000X
115939,0,
115940,1,103T00000X
115941,0,
115942,1,103T00000X
115943,0,
115944,0,
115945,0,
115946,1,103T00000X
115947,1,2084N0402X
115948,1,103T00000X
115949,1,103T00000X
115950,1,207RH0000X
115951,0,
115952,0,
115953,0,
115954,1,103T00000X
115955,0,
115956,1,103T00000X
115957,0,
115958,0,
115959,0,
115960,1,103T00000X
115961,0,
115962,0,
115963,0,
115964,1,103T00000X
115965,0,
115966,0,
115967,1,103T00000X
115968,0,
115969,1,2080A0000X
115970,0,
115971,1,2080A0000X
115972,1,2080A0000X
115973,1,103T00000X
115974,0,
115975,1,207RH0000X
115976,0,
115977,0,
115978,0,
115979,1,103T00000X
115980,1,103T00000X
115981,1,103T00000X
115982,0,
115983,1,103T00000X
115984,1,103T00000X
115985,1,103T00000X
115986,0,
115987,0,
115988,0,
115989,1,103T00000X
115990,0,
115991,0,
115992,1,103T00000X
115993,0,
115994,1,103T00000X
115995,0,
115996,0,
115997,0,
115998,0,
115999,0,
116000,1,103T00000X
116001,0,
116002,0,
116003,1,103T00000X
116004,1,207RH0000X
116005,1,103T00000X
116006,0,
116007,0,
116008,0,
116009,1,103T00000X
116010,0,
116011,0,
116012,1,103T00000X
116013,1,103T00000X
116014,0,
116015,0,
116016,1,103T00000X
116017,0,
116018,0,
116019,1,103T00000X
116020,0,
116021,0,
116022,1,103T00000X
116023,1,103T00000X
116024,1,103T00000X
116025,0,
116026,1,103T00000X
116027,0,
116028,1,103T00000X
116029,0,
116030,1,207RG0300X
116031,1,103T00000X
116032,0,
116033,0,
116034,0,
116035,0,
116036,0,
116037,1,103T00000X
116038,0,
116039,0,
116040,1,2080A0000X
116041,0,
116042,1,103T00000X
116043,1,103T00000X
116044,0,
116045,1,103T00000X
116046,1,103T00000X
116047,1,103T00000X
116048,0,
116049,1,103T00000X
116050,0,
116051,1,207RH0000X
116052,1,207ND0101X
116053,1,103T00000X
116054,0,
116055,0,
116056,1,103T00000X
116057,0,
116058,0,
116059,1,103T00000X
116060,1,103T00000X
116061,0,
116062,0,
116063,0,
116064,1,103T00000X
116065,0,
116066,0,
116067,0,
116068,0,
116069,1,2084N0008X
116070,1,103T00000X
116071,0,
116072,0,
116073,0,
116074,0,
116075,0,
116076,1,2084N0402X
116077,1,103T00000X
116078,0,
116079,0,
116080,0,
116081,1,2080A0000X
116082,1,103T00000X
116083,1,103T00000X
116084,0,
116085,0,
116086,1,103T00000X
116087,1,103T00000X
116088,1,103T00000X
116089,0,
116090,0,
116091,1,207RH0000X
116092,0,
116093,1,103T00000X
116094,0,
116095,1,103T00000X
116096,1,103T00000X
116097,1,103T00000X
116098,0,
116099,1,363LA2100X
116100,0,
116101,0,
116102,0,
116103,0,
116104,0,
116105,0,
116106,1,2084N0402X
116107,1,103T00000X
116108,0,
116109,0,
116110,1,103T00000X
116111,0,
116112,1,103T00000X
116113,1,103T00000X
116114,0,
116115,0,
116116,0,
116117,0,
116118,1,207RH0000X
116119,0,
116120,0,
116121,1,103T00000X
116122,1,103T00000X
116123,0,
116124,1,103T00000X
116125,1,103T00000X
116126,0,
116127,1,103T00000X
116128,1,103T00000X
116129,1,103T00000X
116130,1,103T00000X
116131,0,
116132,0,
116133,1,103T00000X
116134,0,
116135,1,103T00000X
116136,0,
116137,0,
116138,0,
116139,1,103T00000X
116140,1,103T00000X
116141,1,103T00000X
116142,0,
116143,0,
116144,0,
116145,0,
116146,0,
116147,1,2080A0000X
116148,0,
116149,0,
116150,0,
116151,1,103T00000X
116152,1,2084N0402X
116153,1,103T00000X
116154,1,103T00000X
116155,0,
116156,0,
116157,0,
116158,1,103T00000X
116159,1,2084N0402X
116160,1,2084N0402X
116161,0,
116162,1,103T00000X
116163,0,
116164,0,
116165,1,103T00000X
116166,0,
116167,1,103T00000X
116168,0,
116169,0,
116170,0,
116171,1,103T00000X
116172,0,
116173,1,103T00000X
116174,0,
116175,0,
116176,1,103T00000X
116177,0,
116178,0,
116179,0,
116180,1,103T00000X
116181,1,103T00000X
116182,1,2080A0000X
116183,0,
116184,0,
116185,0,
116186,0,
116187,0,
116188,0,
116189,0,
116190,1,2080A0000X
116191,0,
116192,1,103T00000X
116193,1,103T00000X
116194,1,103T00000X
116195,0,
116196,1,103T00000X
116197,0,
116198,1,2080A0000X
116199,1,103T00000X
116200,0,
116201,0,
116202,1,2084N0402X
116203,1,103T00000X
116204,1,103T00000X
116205,1,103T00000X
116206,1,103T00000X
116207,0,
116208,0,
116209,0,
116210,1,2080A0000X
116211,1,2080A0000X
116212,1,103T00000X
116213,0,
116214,0,
116215,0,
116216,0,
116217,1,103T00000X
116218,0,
116219,0,
116220,1,103T00000X
116221,1,103T00000X
116222,0,
116223,0,
116224,0,
116225,1,2084N0402X
116226,1,103T00000X
116227,1,103T00000X
116228,1,2084N0402X
116229,1,2084N0402X
116230,1,103T00000X
116231,0,
116232,1,207QA0401X
116233,1,103T00000X
116234,0,
116235,0,
116236,0,
116237,1,2084N0402X
116238,1,103T00000X
116239,1,103T00000X
116240,0,
116241,1,103T00000X
116242,0,
116243,1,103T00000X
116244,1,207QA0401X
116245,0,
116246,1,2080A0000X
116247,0,
116248,1,103T00000X
116249,1,2080A0000X
116250,1,103T00000X
116251,0,
116252,1,103T00000X
116253,0,
116254,1,2084N0402X
116255,1,103T00000X
116256,1,103T00000X
116257,0,
116258,0,
116259,0,
116260,0,
116261,0,
116262,1,103T00000X
116263,0,
116264,0,
116265,0,
116266,1,103T00000X
116267,1,103T00000X
116268,0,
116269,1,207RH0000X
116270,0,
116271,0,
116272,1,2080A0000X
116273,1,103T00000X
116274,1,2080A0000X
116275,1,103T00000X
116276,0,
116277,1,103T00000X
116278,0,
116279,0,
116280,1,2080A0000X
116281,1,103T00000X
116282,0,
116283,0,
116284,1,103T00000X
116285,0,
116286,0,
116287,0,
116288,0,
116289,0,
116290,0,
116291,0,
116292,0,
116293,0,
116294,0,
116295,1,103T00000X
116296,0,
116297,1,103T00000X
116298,1,103T00000X
116299,1,103T00000X
116300,1,207QA0401X
116301,1,103T00000X
116302,1,2084N0402X
116303,0,
116304,1,2084N0008X
116305,1,103T00000X
116306,0,
116307,0,
116308,1,207QA0401X
116309,0,
116310,0,
116311,1,103T00000X
116312,0,
116313,1,103T00000X
116314,0,
116315,0,
116316,0,
116317,1,103T00000X
116318,0,
116319,0,
116320,1,103T00000X
116321,0,
116322,0,
116323,1,103T00000X
116324,0,
116325,0,
116326,1,103T00000X
116327,1,103T00000X
116328,0,
116329,0,
116330,1,103T00000X
116331,1,103T00000X
116332,1,103T00000X
116333,1,103T00000X
116334,0,
116335,1,103T00000X
116336,0,
116337,1,103T00000X
116338,0,
116339,1,103T00000X
116340,1,103T00000X
116341,0,
116342,0,
116343,0,
116344,0,
116345,1,103T00000X
116346,1,103T00000X
116347,1,103T00000X
116348,0,
116349,1,103T00000X
116350,1,363LA2100X
116351,0,
116352,0,
116353,1,103T00000X
116354,1,103T00000X
116355,0,
116356,1,103T00000X
116357,0,
116358,0,
116359,0,
116360,0,
116361,0,
116362,1,103T00000X
116363,0,
116364,0,
116365,1,103T00000X
116366,0,
116367,0,
116368,0,
116369,1,2080A0000X
116370,1,103T00000X
116371,0,
116372,1,103T00000X
116373,1,103T00000X
116374,1,103T00000X
116375,1,103T00000X
116376,1,103T00000X
116377,0,
116378,0,
116379,0,
116380,0,
116381,0,
116382,1,103T00000X
116383,0,
116384,0,
116385,0,
116386,1,103T00000X
116387,0,
116388,0,
116389,0,
116390,0,
116391,0,
116392,1,103T00000X
116393,0,
116394,1,103T00000X
116395,1,2080A0000X
116396,0,
116397,1,2080A0000X
116398,1,103T00000X
116399,0,
116400,0,
116401,1,103T00000X
116402,0,
116403,0,
116404,1,2084N0402X
116405,1,2080A0000X
116406,0,
116407,1,103T00000X
116408,1,103T00000X
116409,1,103T00000X
116410,0,
116411,1,103T00000X
116412,0,
116413,1,103T00000X
116414,1,103T00000X
116415,1,103T00000X
116416,1,207RH0000X
116417,0,
116418,1,103T00000X
116419,0,
116420,0,
116421,0,
116422,1,103T00000X
116423,0,
116424,1,103T00000X
116425,1,103T00000X
116426,0,
116427,0,
116428,0,
116429,1,103T00000X
116430,0,
116431,1,103T00000X
116432,1,103T00000X
116433,1,103T00000X
116434,1,2084N0008X
116435,0,
116436,1,103T00000X
116437,1,103T00000X
116438,0,
116439,1,207RG0300X
116440,1,103T00000X
116441,1,2084N0402X
116442,0,
116443,0,
116444,1,103T00000X
116445,1,2084N0402X
116446,1,103T00000X
116447,0,
116448,1,103T00000X
116449,0,
116450,0,
116451,0,
116452,1,2080A0000X
116453,1,103T00000X
116454,0,
116455,1,2080A0000X
116456,0,
116457,0,
116458,0,
116459,1,103T00000X
116460,0,
116461,1,103T00000X
116462,0,
116463,0,
116464,1,103T00000X
116465,1,103T00000X
116466,1,103T00000X
116467,1,103T00000X
116468,0,
116469,0,
116470,0,
116471,0,
116472,0,
116473,1,2084N0402X
116474,1,2084N0402X
116475,0,
116476,1,103T00000X
116477,1,103T00000X
116478,1,103T00000X
116479,1,103T00000X
116480,1,2084P0802X
116481,1,2084N0402X
116482,0,
116483,0,
116484,1,103T00000X
116485,0,
116486,1,103T00000X
116487,1,103T00000X
116488,0,
116489,0,
116490,1,103T00000X
116491,1,103T00000X
116492,0,
116493,1,2084N0008X
116494,0,
116495,0,
116496,0,
116497,0,
116498,0,
116499,0,
116500,0,
116501,0,
116502,0,
116503,1,207RH0000X
116504,0,
116505,0,
116506,0,
116507,0,
116508,0,
116509,0,
116510,0,
116511,1,103T00000X
116512,1,103T00000X
116513,1,207ND0101X
116514,1,103T00000X
116515,0,
116516,1,2080A0000X
116517,0,
116518,1,103T00000X
116519,1,103T00000X
116520,0,
116521,0,
116522,1,103T00000X
116523,0,
116524,1,103T00000X
116525,1,363LA2100X
116526,0,
116527,0,
116528,0,
116529,0,
116530,0,
116531,1,2084N0402X
116532,1,103T00000X
116533,1,103T00000X
116534,1,2080A0000X
116535,1,103T00000X
116536,0,
116537,1,103T00000X
116538,0,
116539,0,
116540,1,103T00000X
116541,1,2084N0402X
116542,1,103T00000X
116543,0,
116544,1,103T00000X
116545,1,2084N0402X
116546,1,103T00000X
116547,0,
116548,1,2084N0402X
116549,0,
116550,0,
116551,1,2084N0402X
116552,0,
116553,1,103T00000X
116554,1,103T00000X
116555,1,103T00000X
116556,0,
116557,1,103T00000X
116558,1,2084N0402X
116559,1,103T00000X
116560,0,
116561,0,
116562,0,
116563,0,
116564,1,103T00000X
116565,1,103T00000X
116566,0,
116567,0,
116568,1,103T00000X
116569,1,103T00000X
116570,0,
116571,0,
116572,1,103T00000X
116573,1,207QA0401X
116574,1,103T00000X
116575,1,103T00000X
116576,0,
116577,1,103T00000X
116578,0,
116579,0,
116580,1,2084N0402X
116581,0,
116582,0,
116583,0,
116584,1,103T00000X
116585,0,
116586,0,
116587,0,
116588,1,103T00000X
116589,0,
116590,1,103T00000X
116591,1,103T00000X
116592,0,
116593,1,103T00000X
116594,0,
116595,1,103T00000X
116596,1,103T00000X
116597,1,103T00000X
116598,1,2084N0008X
116599,1,103T00000X
116600,1,2084N0402X
116601,0,
116602,1,103T00000X
116603,1,103T00000X
116604,1,103T00000X
116605,1,207RG0300X
116606,1,103T00000X
116607,0,
116608,1,2080A0000X
116609,0,
116610,1,2084N0402X
116611,0,
116612,1,103T00000X
116613,0,
116614,0,
116615,0,
116616,0,
116617,1,103T00000X
116618,1,2080A0000X
116619,1,207RG0300X
116620,0,
116621,0,
116622,1,103T00000X
116623,0,
116624,1,103T00000X
116625,1,103T00000X
116626,0,
116627,0,
116628,0,
116629,0,
116630,0,
116631,0,
116632,0,
116633,0,
116634,0,
116635,1,103T00000X
116636,0,
116637,0,
116638,0,
116639,0,
116640,0,
116641,0,
116642,0,
116643,0,
116644,0,
116645,1,2084N0008X
116646,1,103T00000X
116647,0,
116648,0,
116649,0,
116650,1,103T00000X
116651,1,103T00000X
116652,0,
116653,1,103T00000X
116654,1,2080A0000X
116655,0,
116656,1,103T00000X
116657,0,
116658,0,
116659,0,
116660,0,
116661,0,
116662,1,103T00000X
116663,0,
116664,0,
116665,0,
116666,1,103T00000X
116667,1,103T00000X
116668,1,103T00000X
116669,0,
116670,1,103T00000X
116671,1,103T00000X
116672,0,
116673,1,103T00000X
116674,0,
116675,0,
116676,1,103T00000X
116677,0,
116678,0,
116679,1,103T00000X
116680,0,
116681,1,103T00000X
116682,0,
116683,1,103T00000X
116684,0,
116685,0,
116686,1,103T00000X
116687,0,
116688,1,103T00000X
116689,1,103T00000X
116690,1,103T00000X
116691,0,
116692,1,207RG0300X
116693,0,
116694,1,103T00000X
116695,0,
116696,1,103T00000X
116697,1,103T00000X
116698,0,
116699,0,
116700,0,
116701,1,103T00000X
116702,1,2084N0402X
116703,0,
116704,0,
116705,0,
116706,1,103T00000X
116707,0,
116708,1,103T00000X
116709,1,103T00000X
116710,1,103T00000X
116711,1,103T00000X
116712,1,103T00000X
116713,0,
116714,0,
116715,0,
116716,1,103T00000X
116717,0,
116718,0,
116719,1,103T00000X
116720,1,103T00000X
116721,1,207ND0101X
116722,0,
116723,1,103T00000X
116724,1,103T00000X
116725,0,
116726,0,
116727,1,103T00000X
116728,1,103T00000X
116729,0,
116730,0,
116731,0,
116732,0,
116733,1,103T00000X
116734,1,103T00000X
116735,1,103T00000X
116736,0,
116737,0,
116738,0,
116739,0,
116740,0,
116741,0,
116742,0,
116743,1,103T00000X
116744,0,
116745,0,
116746,0,
116747,1,103T00000X
116748,0,
116749,0,
116750,0,
116751,1,2080A0000X
116752,0,
116753,1,103T00000X
116754,1,103T00000X
116755,0,
116756,0,
116757,0,
116758,0,
116759,1,103T00000X
116760,1,103T00000X
116761,0,
116762,1,103T00000X
116763,1,103T00000X
116764,1,103T00000X
116765,0,
116766,1,103T00000X
116767,0,
116768,1,103T00000X
116769,0,
116770,1,207ND0101X
116771,0,
116772,1,103T00000X
116773,1,103T00000X
116774,0,
116775,0,
116776,0,
116777,1,103T00000X
116778,0,
116779,1,103T00000X
116780,1,103T00000X
116781,0,
116782,0,
116783,1,103T00000X
116784,1,103T00000X
116785,1,103T00000X
116786,0,
116787,0,
116788,1,103T00000X
116789,1,103T00000X
116790,0,
116791,1,103T00000X
116792,1,103T00000X
116793,0,
116794,0,
116795,1,103T00000X
116796,1,103T00000X
116797,1,2080A0000X
116798,0,
116799,0,
116800,0,
116801,1,103T00000X
116802,0,
116803,0,
116804,0,
116805,0,
116806,1,103T00000X
116807,1,103T00000X
116808,0,
116809,0,
116810,1,103T00000X
116811,1,103T00000X
116812,0,
116813,0,
116814,0,
116815,0,
116816,0,
116817,1,207RH0000X
116818,1,103T00000X
116819,0,
116820,1,207RG0300X
116821,1,103T00000X
116822,0,
116823,1,207RH0000X
116824,1,103T00000X
116825,1,103T00000X
116826,1,103T00000X
116827,1,2080A0000X
116828,0,
116829,1,2084N0402X
116830,0,
116831,0,
116832,1,103T00000X
116833,0,
116834,1,103T00000X
116835,0,
116836,0,
116837,0,
116838,0,
116839,0,
116840,1,103T00000X
116841,0,
116842,1,103T00000X
116843,0,
116844,1,2084N0402X
116845,1,103T00000X
116846,0,
116847,0,
116848,1,207RG0300X
116849,0,
116850,1,103T00000X
116851,1,207RG0300X
116852,1,103T00000X
116853,0,
116854,0,
116855,1,103T00000X
116856,1,103T00000X
116857,1,103T00000X
116858,1,103T00000X
116859,0,
116860,1,2080A0000X
116861,0,
116862,1,2084N0402X
116863,1,103T00000X
116864,0,
116865,0,
116866,1,103T00000X
116867,0,
116868,1,103T00000X
116869,1,103T00000X
116870,0,
116871,1,103T00000X
116872,1,2084N0008X
116873,1,103T00000X
116874,0,
116875,1,2084N0008X
116876,0,
116877,1,103T00000X
116878,0,
116879,0,
116880,0,
116881,1,103T00000X
116882,0,
116883,1,103T00000X
116884,1,103T00000X
116885,0,
116886,0,
116887,1,103T00000X
116888,0,
116889,0,
116890,0,
116891,0,
116892,1,103T00000X
116893,0,
116894,1,103T00000X
116895,0,
116896,0,
116897,1,103T00000X
116898,0,
116899,0,
116900,1,103T00000X
116901,1,2080A0000X
116902,0,
116903,1,103T00000X
116904,0,
116905,1,103T00000X
116906,1,103T00000X
116907,1,103T00000X
116908,1,103T00000X
116909,1,207RH0000X
116910,1,103T00000X
116911,0,
116912,1,2084N0402X
116913,1,103T00000X
116914,0,
116915,0,
116916,0,
116917,1,103T00000X
116918,0,
116919,1,103T00000X
116920,1,103T00000X
116921,1,103T00000X
116922,0,
116923,0,
116924,1,103T00000X
116925,0,
116926,0,
116927,1,103T00000X
116928,0,
116929,0,
116930,0,
116931,0,
116932,0,
116933,0,
116934,0,
116935,1,103T00000X
116936,1,103T00000X
116937,0,
116938,0,
116939,1,207RG0300X
116940,0,
116941,0,
116942,0,
116943,1,103T00000X
116944,1,2084P0802X
116945,1,103T00000X
116946,0,
116947,1,2084N0008X
116948,0,
116949,0,
116950,0,
116951,0,
116952,0,
116953,1,103T00000X
116954,1,2084N0402X
116955,0,
116956,0,
116957,0,
116958,0,
116959,1,103T00000X
116960,0,
116961,1,2084N0402X
116962,0,
116963,1,103T00000X
116964,0,
116965,0,
116966,0,
116967,0,
116968,0,
116969,1,2084N0402X
116970,0,
116971,1,2084N0402X
116972,0,
116973,0,
116974,0,
116975,1,103T00000X
116976,1,2084N0402X
116977,0,
116978,0,
116979,1,103T00000X
116980,1,207RG0300X
116981,1,103T00000X
116982,0,
116983,0,
116984,1,103T00000X
116985,1,207RH0000X
116986,1,2084N0402X
116987,0,
116988,0,
116989,1,207RH0000X
116990,0,
116991,1,103T00000X
116992,1,103T00000X
116993,1,2080A0000X
116994,1,103T00000X
116995,1,103T00000X
116996,1,2080A0000X
116997,0,
116998,1,103T00000X
116999,0,
117000,1,2084N0402X
117001,1,103T00000X
117002,0,
117003,0,
117004,0,
117005,0,
117006,1,103T00000X
117007,0,
117008,1,103T00000X
117009,1,103T00000X
117010,1,2080A0000X
117011,0,
117012,1,103T00000X
117013,0,
117014,0,
117015,1,103T00000X
117016,1,103T00000X
117017,0,
117018,1,103T00000X
117019,1,2084N0402X
117020,0,
117021,1,103T00000X
117022,0,
117023,1,103T00000X
117024,0,
117025,1,103T00000X
117026,1,207RG0300X
117027,0,
117028,1,103T00000X
117029,0,
117030,1,103T00000X
117031,0,
117032,0,
117033,0,
117034,1,103T00000X
117035,1,2084P0802X
117036,1,2084N0008X
117037,0,
117038,1,103T00000X
117039,0,
117040,1,103T00000X
117041,1,2084N0008X
117042,1,2080A0000X
117043,0,
117044,1,103T00000X
117045,0,
117046,1,2080A0000X
117047,1,103T00000X
117048,0,
117049,0,
117050,1,103T00000X
117051,0,
117052,0,
117053,1,2084N0402X
117054,1,363LA2100X
117055,1,2080A0000X
117056,0,
117057,0,
117058,1,103T00000X
117059,0,
117060,0,
117061,0,
117062,0,
117063,0,
117064,1,207ND0101X
117065,0,
117066,1,103T00000X
117067,0,
117068,0,
117069,0,
117070,0,
117071,0,
117072,0,
117073,0,
117074,1,103T00000X
117075,1,207QA0401X
117076,1,103T00000X
117077,1,103T00000X
117078,0,
117079,1,103T00000X
117080,0,
117081,1,103T00000X
117082,0,
117083,1,2080A0000X
117084,1,2080A0000X
117085,1,207QA0401X
117086,1,103T00000X
117087,1,2080A0000X
117088,1,103T00000X
117089,1,103T00000X
117090,0,
117091,0,
117092,0,
117093,0,
117094,0,
117095,1,103T00000X
117096,1,103T00000X
117097,1,207RH0000X
117098,0,
117099,1,103T00000X
117100,1,2084N0402X
117101,1,2080A0000X
117102,0,
117103,1,2084N0008X
117104,0,
117105,1,103T00000X
117106,0,
117107,1,2084N0402X
117108,0,
117109,1,103T00000X
117110,0,
117111,0,
117112,0,
117113,1,2080A0000X
117114,1,103T00000X
117115,0,
117116,0,
117117,0,
117118,1,103T00000X
117119,0,
117120,1,103T00000X
117121,0,
117122,0,
117123,0,
117124,0,
117125,1,207RH0000X
117126,1,2084N0402X
117127,1,2080A0000X
117128,1,103T00000X
117129,1,103T00000X
117130,0,
117131,1,103T00000X
117132,0,
117133,0,
117134,1,103T00000X
117135,1,103T00000X
117136,1,103T00000X
117137,1,2084N0402X
117138,1,2084N0402X
117139,0,
117140,0,
117141,0,
117142,0,
117143,1,2084N0402X
117144,0,
117145,0,
117146,0,
117147,1,2080A0000X
117148,0,
117149,0,
117150,0,
117151,0,
